LanguageId,EngineId
en,1
es,1
fr,1
de,1
zh-CN,1
zh-TW,1
ja,1
ko,1
ru,1
ar,1
hi,1
pt,1
it,1
nl,1
sv,1
no,1
da,1
fi,1
el,1
tr,1
iw,1
th,1
vi,1
pl,1
cs,1
hu,1
af,3
sq,3
am,3
ar,3
hy,3
az,3
bn,3
bs,3
bg,3
ca,3
zh-CN,3
zh-TW,3
hr,3
cs,3
da,3
nl,3
en,3
et,3
fa,3
tl,3
fi,3
fr,3
fr-CA,3
ka,3
de,3
el,3
gu,3
ht,3
ha,3
iw,3
hi,3
hu,3
is,3
id,3
ir,3
it,3
ja,3
kn,3
kk,3
ko,3
lv,3
lt,3
mk,3
ms,3
ml,3
mt,3
mr,3
mn-Cyrl,3
no,3
ps,3
pl,3
pt,3
pt-PT,3
pa,3
ro,3
ru,3
si,3
sk,3
sl,3
so,3
es,3
sw,3
sv,3
ta,3
te,3
th,3
tr,3
uk,3
ur,3
uz,3
vi,3
cy,3
af,2
sq,2
am,2
ar,2
hy,2
as,2
az,2
bn,2
ba,2
eu,2
bho,2
brx,2
bs,2
bg,2
ca,2
sn,2
hr,2
cs,2
da,2
prs,2
dv,2
doi,2
nl,2
en,2
et,2
fo,2
fj,2
fil,2
fi,2
fr,2
fr-ca,2
gl,2
ka,2
de,2
el,2
gu,2
ht,2
ha,2
iw,2
hi,2
mww,2
hu,2
is,2
ig,2
id,2
ikt,2
iu,2
ir,2
it,2
ja,2
kn,2
ks,2
kk,2
km,2
rw,2
gom,2
ko,2
ku,2
kmr,2
ky,2
lo,2
lv,2
lt,2
ln,2
dsb,2
lug,2
mk,2
mai,2
mg,2
ms,2
ml,2
mt,2
mi,2
mr,2
my,2
ne,2
no,2
nya,2
or,2
ps,2
fa,2
pl,2
pt,2
pt-pt,2
pa,2
otq,2
ro,2
run,2
ru,2
sm,2
st,2
nso,2
tn,2
sd,2
si,2
sk,2
sl,2
so,2
es,2
sw,2
sv,2
ty,2
ta,2
tt,2
te,2
th,2
bo,2
ti,2
to,2
tr,2
tk,2
uk,2
hsb,2
ur,2
ug,2
uz,2
vi,2
cy,2
yo,2
yua,2
zu,2